Date,UIUC_Tests,UIUC_Confirmed,B10_Tests,B10_Confirmed,Illinois_Tests,Illinois_Confirmed,Illinois_Deaths,US_Tests,US_Confirmed,US_Deaths,IL-UIUC_Tests,IL-UIUC_Confirmed,pctIL_Tests,pctUS_Tests,pctIL_Confirmed,pctUS_Confirmed,ILxUIUC_pctPos,Illinois_pctPos
2020-07-06,99.0,0,12578.0,257.0,1783962.0,147865,7026,36031633.0,2927032,130777,1783863.0,147865,0.005549445559939057,0.00027475857116994945,0.0,0.0,8.289033406713408,8.288573411317056
2020-07-07,335.0,0,12814.0,257.0,1810956.0,149574,7273,36877410.0,2987787,131984,1810621.0,149574,0.018498516805488373,0.0009084152059485739,0.0,0.0,8.260922633726219,8.259394485564531
2020-07-08,933.0,2,13412.0,259.0,1843698.0,150554,7309,37430850.0,3047527,132847,1842765.0,150552,0.05060481705789126,0.0024925963476650943,0.0013284270095779587,6.562698213994494e-05,8.16989686693637,8.165870983208746
2020-07-09,1652.0,3,14131.0,260.0,1879878.0,151572,7329,38032150.0,3110094,133845,1878226.0,151569,0.08787804314960865,0.004343693427797272,0.0019792573826300374,9.646010699355068e-05,8.069795647595125,8.062863653917967
2020-07-10,2382.0,8,14861.0,269.0,1912875.0,152899,7345,38918605.0,3177953,134666,1910493.0,152891,0.12452460301901588,0.0061204660341756855,0.005232212113879096,0.0002517343711502341,8.002698779843737,7.993151669607267
2020-07-11,2382.0,8,14861.0,269.0,1945220.0,154094,7369,39552579.0,3237989,135359,1942838.0,154086,0.12245401548410977,0.006022363295197514,0.005191636273962646,0.00024706692950470183,7.930975202255669,7.921674669189089
2020-07-12,2382.0,8,16206.0,285.0,1984114.0,155048,7388,40281360.0,3297074,135820,1981732.0,155040,0.12005358563066437,0.005913405108467043,0.005159692482328053,0.0002426393826768826,7.823459478880091,7.814470337893892
2020-07-13,3051.0,10,16875.0,287.0,2014126.0,155931,7394,41003459.0,3355869,136188,2011075.0,155921,0.15148009608137722,0.007440835662181573,0.006413092970608795,0.0002979854100383537,7.753117113981328,7.741869177995816
2020-07-14,3679.0,12,17503.0,289.0,2042572.0,156638,7419,41763741.0,3423296,137108,2038893.0,156626,0.1801160497647084,0.008809076753923936,0.007660976263741876,0.000350539363233562,7.68191366589615,7.668664801044957
2020-07-15,4217.0,18,18041.0,295.0,2080733.0,157825,7427,42520211.0,3490931,138080,2076516.0,157807,0.20266896329322406,0.009917636579931366,0.011405037224774275,0.0005156217639363253,7.5996043372649185,7.585067377698148
2020-07-16,4834.0,25,18658.0,302.0,2123739.0,159082,7452,43350908.0,3568033,139030,2118905.0,159057,0.22761742379831043,0.011150862168792405,0.015715165763568475,0.0007006661653633809,7.506565891344822,7.490656808581469
2020-07-17,5559.0,28,19383.0,310.0,2167474.0,160509,7465,44202696.0,3639705,139963,2161915.0,160481,0.25647366473600147,0.012576155988313473,0.017444504669520088,0.0007692931157882301,7.423094802524614,7.405348345585691
2020-07-18,5559.0,28,19383.0,310.0,2213573.0,161785,7483,44964467.0,3702174,140825,2208014.0,161757,0.25113244514637645,0.01236309550828213,0.01730691967734957,0.0007563123721359396,7.325904636474225,7.3087718363026655
2020-07-19,5559.0,28,20495.0,340.0,2245686.0,162750,7488,45733290.0,3762890,141278,2240127.0,162722,0.2475412858253558,0.01215525933078508,0.017204301075268817,0.0007441089162850894,7.263963159231597,7.247228686468189
2020-07-20,6399.0,31,21335.0,343.0,2280284.0,163922,7494,46468487.0,3824368,141802,2273885.0,163891,0.2806229399495852,0.013770622658749359,0.01891143348665829,0.00081059144935843,7.207532482953184,7.188665973185796
2020-07-21,6906.0,34,21842.0,346.0,2310029.0,164864,7517,47223345.0,3888599,142903,2303123.0,164830,0.29895728581762393,0.014624122878207801,0.02062305900621118,0.0008743508908992673,7.156804043900391,7.136880099773639
2020-07-22,7538.0,37,22474.0,349.0,2349662.0,166475,7540,48019740.0,3960522,144123,2342124.0,166438,0.3208120997828624,0.015697710983024898,0.0222255593933023,0.000934220287123768,7.106284722755926,7.085061596093396
2020-07-23,8290.0,43,23226.0,355.0,2389368.0,168096,7560,48793933.0,4029038,145215,2381078.0,168053,0.34695367143110645,0.01698981715616161,0.025580620597753664,0.0010672522820583971,7.057853627642605,7.035165784425002
2020-07-24,9128.0,46,24064.0,359.0,2433765.0,169696,7577,49837057.0,4102241,146345,2424637.0,169650,0.3750567536306915,0.01831568826385555,0.027107297755987178,0.001121338312400466,6.996923663212266,6.972571304131664
2020-07-25,9128.0,46,24064.0,359.0,2471965.0,171122,7589,50634646.0,4167616,147233,2462837.0,171076,0.3692608916388379,0.01802718241577121,0.02688140624817382,0.001103748521936762,6.946298110674803,6.92250901610662
2020-07-26,9128.0,46,26069.0,421.0,2512809.0,172663,7590,51490457.0,4222480,147716,2503681.0,172617,0.3632588071755553,0.017727556778142403,0.02664149238690397,0.0010894071730357514,6.894528496242133,6.871314134898435
2020-07-27,9963.0,50,26904.0,425.0,2543376.0,173894,7608,52251297.0,4278427,148835,2533413.0,173844,0.3917234415988827,0.019067469272580927,0.028753148469757437,0.0011686538066443578,6.862047364563141,6.837133007467241
2020-07-28,10704.0,52,27645.0,427.0,2571707.0,174968,7638,52984540.0,4344212,150204,2561003.0,174916,0.4162215991168512,0.02020211933518721,0.029719720177403867,0.0011969949901155838,6.8299802850679985,6.803574435190323
2020-07-29,11449.0,52,28390.0,427.0,2609894.0,176363,7654,53824408.0,4416044,151635,2598445.0,176311,0.43867681982486645,0.021271018902799636,0.02948464247035943,0.001177524499302996,6.785250409379456,6.757477506749316
2020-07-30,12185.0,56,29126.0,431.0,2651028.0,178135,7670,54643678.0,4483643,152851,2638843.0,178079,0.45963301783308214,0.022299011424523802,0.03143683161647066,0.0012489843638309294,6.7483741927807,6.719468824923766
2020-07-31,13243.0,57,30184.0,439.0,2700849.0,180115,7692,55371946.0,4551554,154093,2687606.0,180058,0.49032730078578995,0.023916443175033074,0.031646448102601116,0.0012523195374590744,6.6995683147008895,6.668828949711739
2020-08-01,13243.0,57,30186.0,439.0,2740658.0,181754,7700,56084993.0,4609390,155202,2727415.0,181697,0.4832051281115703,0.023612377022138524,0.03136107045787163,0.0012366061452816967,6.6618758054788145,6.631765072475296
2020-08-02,13243.0,57,32708.0,476.0,2779603.0,183224,7714,56810895.0,4655662,155613,2766360.0,183167,0.47643494412691306,0.02331066954674803,0.031109461642579574,0.0012243156827106436,6.621227895140184,6.591732704274675
2020-08-03,15139.0,58,34727.0,485.0,2808078.0,184522,7723,57542585.0,4700229,156152,2792939.0,184464,0.5391232009937046,0.026309210821863493,0.03143256630645668,0.0012339824293667394,6.6046555259531265,6.57111376535837
2020-08-04,16898.0,61,36781.0,490.0,2850676.0,185993,7742,58238171.0,4757512,157526,2833778.0,185932,0.5927716794191974,0.029015334289945335,0.0327969332179168,0.0012821827879782542,6.561276147955133,6.524522604462941
2020-08-05,18303.0,66,38241.0,496.0,2897344.0,187752,7770,58919579.0,4811945,158902,2879041.0,187686,0.6317164962117029,0.031064376749874605,0.03515275469768631,0.0013715867492251055,6.519045751693012,6.480141812639438
2020-08-06,20126.0,71,40108.0,502.0,2939030.0,189705,7791,59651279.0,4871426,160150,2918904.0,189634,0.6847837551845337,0.03373942744798481,0.0374265306660341,0.0014574787752087376,6.496753575999759,6.454680625920797
2020-08-07,22635.0,77,42728.0,510.0,2985918.0,191808,7822,60414162.0,4929748,161388,2963283.0,191731,0.758058325781217,0.03746638081316099,0.04014431097764431,0.001561945965594996,6.470222385104629,6.423753097037494
2020-08-08,22635.0,77,42802.0,511.0,3033934.0,193998,7840,61079191.0,4984196,162470,3011299.0,193921,0.7460610547230098,0.03705844761434381,0.03969113083640038,0.0015448830663962654,6.43977897910503,6.394272255098496
2020-08-09,22635.0,77,46217.0,529.0,3075288.0,195380,7845,61791175.0,5030566,162986,3052653.0,195303,0.7360286256116501,0.03663144453880348,0.03941037977275054,0.0015306428739827686,6.3978120015606095,6.353226104351853
2020-08-10,26745.0,79,50708.0,555.0,3107641.0,196699,7846,62511778.0,5079299,163513,3080896.0,196620,0.8606206444051935,0.04278393745255494,0.04016288847426779,0.0015553327339067852,6.381909678223478,6.3295277672034835
2020-08-11,30355.0,83,54573.0,560.0,3149003.0,198248,7866,63250861.0,5126224,164581,3118648.0,198165,0.9639558933414798,0.047991441571048336,0.041866752754126144,0.0016191255005633775,6.35419579253574,6.295579902591392
2020-08-12,32793.0,87,57679.0,572.0,3191101.0,199893,7881,63714152.0,5183020,166087,3158308.0,199806,1.0276390499705275,0.05146894209625516,0.04352328495745224,0.001678558060744508,6.326362090081145,6.264076254559163
2020-08-13,32793.0,87,59046.0,577.0,3237107.0,201727,7905,64829910.0,5234762,167151,3204314.0,201640,1.0130341690898694,0.0505831336184178,0.0431275932324379,0.0016619666758488734,6.292766564075805,6.231706273533745
2020-08-14,32793.0,87,60312.0,593.0,3286680.0,204023,7932,65675228.0,5299526,168494,3253887.0,203936,0.9977545730037606,0.04993206875505632,0.042642251118746415,0.001641656253785716,6.267457966426001,6.2075711660398945
2020-08-15,34429.0,93,63397.0,627.0,3331094.0,205851,7937,66419177.0,5346302,169524,3296665.0,205758,1.033564348529342,0.05183593286619616,0.045178308582421264,0.0017395201393411745,6.241398504245958,6.179681510038444
2020-08-16,36882.0,100,71200.0,681.0,3368183.0,207412,7955,67201705.0,5387483,170099,3331301.0,207312,1.0950117615343347,0.054882536090416156,0.04821321813588413,0.0018561543488861125,6.2231542571505845,6.157978945918319
2020-08-17,45946.0,124,82129.0,763.0,3406429.0,209185,7967,68055266.0,5424000,170545,3360483.0,209061,1.3488025143045694,0.0675127770421175,0.059277672873293975,0.002286135693215339,6.2211592797821025,6.140888302677085
2020-08-18,52108.0,144,90025.0,799.0,3440604.0,210924,7994,68704049.0,5469037,171876,3388496.0,210780,1.5145015235696988,0.07584414711860724,0.06827103601297149,0.0026330046770574054,6.22045887024804,6.130435237533875
2020-08-19,58408.0,173,98556.0,841.0,3490903.0,213220,8017,69369194.0,5516408,173207,3432495.0,213047,1.673148752629334,0.08419875831338043,0.08113685395366288,0.0031360987077097995,6.206767963245395,6.107875240303153
2020-08-20,69150.0,225,115332.0,1034.0,3542515.0,215052,8044,70030422.0,5560495,174285,3473365.0,214827,1.9520030260986898,0.09874280066454548,0.10462585793203505,0.004046402343676238,6.18498199872458,6.070602382770433
2020-08-21,80027.0,279,133653.0,1164.0,3594336.0,217345,8066,70801996.0,5608748,175396,3514309.0,217066,2.2264752098857756,0.11302929934348178,0.12836734224389795,0.004974372177177509,6.17663387027151,6.046874860892248
2020-08-22,83353.0,322,139686.0,1234.0,3651102.0,219701,8083,71559257.0,5652401,176380,3567749.0,219379,2.282954570976105,0.11648108643721664,0.1465628285715586,0.00569669420127836,6.148947137256573,6.017388722637714
2020-08-23,87827.0,375,151030.0,1357.0,3705453.0,221594,8089,72181568.0,5686858,176835,3617626.0,221219,2.370209526338615,0.12167510686384646,0.1692284087114272,0.006594150935367122,6.115032344415924,5.980213485368726
2020-08-24,105483.0,454,182045.0,2097.0,3741608.0,223206,8097,72888396.0,5723343,177279,3636125.0,222752,2.819188969020806,0.1447185091026012,0.2033995501913031,0.007932426905044832,6.126082024132834,5.965510016014505
2020-08-25,121333.0,543,202127.0,2809.0,3782467.0,224887,8126,73534306.0,5763322,178509,3661134.0,224344,3.2077741854720743,0.1650018972097187,0.24145459719770374,0.009421649527824405,6.127718898024492,5.945511223230764
2020-08-26,128145.0,597,216807.0,3059.0,3832829.0,227043,8163,74547615.0,5808842,179737,3704684.0,226446,3.343352912431001,0.1718968474041725,0.2629457856000846,0.010277435674786816,6.112424163572386,5.923640214577796
2020-08-27,143268.0,657,236564.0,3293.0,3877339.0,228750,8186,75299792.0,5853962,180841,3734071.0,228093,3.6950083549568404,0.19026347376895808,0.2872131147540984,0.01122316817225667,6.108426968849816,5.899664692718383
2020-08-28,158298.0,722,259223.0,3841.0,3926007.0,231186,8206,76083027.0,5900891,181813,3767709.0,230464,4.032035602585528,0.208059545264938,0.31230264808422653,0.01223544037671599,6.116820593097821,5.888578395300875
2020-08-29,161193.0,772,265478.0,3953.0,3974791.0,233066,8217,76848404.0,5946245,182777,3813598.0,232294,4.055383037749658,0.20975451877959625,0.3312366454137455,0.012982983378585982,6.091203110553341,5.863603897664054
2020-08-30,164833.0,876,278560.0,4464.0,4018484.0,235058,8228,77589609.0,5981032,183089,3853651.0,234182,4.101870257539908,0.2124421067774681,0.37267397833726146,0.014646301842223883,6.076886568088288,5.8494198309611285
2020-08-31,182060.0,1106,315410.0,6539.0,4065863.0,236724,8235,78290807.0,6016230,183684,3883803.0,235618,4.477770156052971,0.23254326654213694,0.4672107602102026,0.018383605679969016,6.066682578905263,5.822232573994746
2020-09-01,196427.0,1305,336558.0,7060.0,4088824.0,238216,8273,78994753.0,6057907,184749,3892397.0,236911,4.803997433002741,0.24865828746878924,0.5478221446082547,0.02154209366370266,6.086506592210404,5.826027239127925
2020-09-02,203516.0,1425,351573.0,8122.0,4121575.0,240344,8300,79644494.0,6098858,185801,3918059.0,238919,4.93782109994359,0.2555305329706784,0.5929001764138069,0.023365029977743375,6.097891838790585,5.831363010499627
2020-09-03,218357.0,1513,371996.0,8577.0,4162370.0,241704,8324,80379571.0,6142639,186868,3944013.0,240191,5.245977652154902,0.27165733442394213,0.6259722635951411,0.024631107248855092,6.090015423377154,5.806884058841478
2020-09-04,232561.0,1617,408781.0,9650.0,4311869.0,247298,8362,81291589.0,6192768,187838,4079308.0,245681,5.393508012418745,0.2860824875744525,0.6538669944762998,0.026111102498914865,6.022614619930636,5.735285557144709
2020-09-05,235170.0,1654,417097.0,9943.0,4373804.0,250102,8385,82097849.0,6235908,188609,4138634.0,248448,5.3767841448770906,0.2864508666968851,0.6613301772876666,0.02652380375079299,6.003140166538041,5.718180329982779
2020-09-06,238157.0,1691,429182.0,10251.0,4420300.0,251515,8390,82836567.0,6267419,189019,4182143.0,249824,5.387801732914055,0.28750225730624496,0.672325706220305,0.026980803421631776,5.9735881819440415,5.689998416397077
2020-09-07,244456.0,1760,447503.0,11717.0,4449275.0,252884,8398,83425476.0,6290964,189295,4204819.0,251124,5.494288395300358,0.29302320073067367,0.6959712753673621,0.027976634423595492,5.9722903649360415,5.683712514960303
2020-09-08,256077.0,1841,465991.0,12300.0,4480638.0,254276,8405,83962996.0,6317861,189741,4224561.0,252435,5.715190559915798,0.3049879258715351,0.7240164230993094,0.029139609117706133,5.975413776721416,5.674995391281331
2020-09-09,268070.0,1888,486786.0,12878.0,4528667.0,255613,8433,84556989.0,6351756,190923,4260597.0,253725,5.9194018902250924,0.31702879107958776,0.7386165805338539,0.029724063707736885,5.955151355549469,5.644331985548948
2020-09-10,274696.0,1922,501191.0,13402.0,4577649.0,257566,8461,85179507.0,6387822,191830,4302953.0,255644,6.000809585881312,0.3224907136407822,0.7462165037310825,0.030088502779194535,5.94112926634337,5.626600029840645
2020-09-11,285949.0,1957,527666.0,14345.0,4634477.0,259879,8505,87225437.0,6435261,193043,4348528.0,257922,6.170038172592075,0.3278275349884461,0.7530427622085663,0.030410576975821182,5.931248459248739,5.607515152195167
