Country_Region,Date,Tests,Confirmed
Michigan,2020-03-14,36.0,7
Northwestern,2020-03-19,,7
Michigan,2020-03-21,309.0,41
Northwestern,2020-03-26,,7
Michigan,2020-03-28,488.0,81
Northwestern,2020-04-02,,8
Michigan,2020-04-04,608.0,101
Northwestern,2020-04-09,,10
Michigan,2020-04-11,714.0,110
Northwestern,2020-04-16,,15
Michigan,2020-04-18,800.0,114
Northwestern,2020-04-23,,17
Michigan,2020-04-25,924.0,119
Northwestern,2020-04-30,,17
Michigan,2020-05-02,1054.0,120
Northwestern,2020-05-07,,18
Michigan,2020-05-09,1217.0,124
Northwestern,2020-05-14,,20
Michigan,2020-05-16,1379.0,125
Northwestern,2020-05-21,,20
Michigan,2020-05-23,1538.0,128
Northwestern,2020-05-28,,20
Michigan,2020-05-30,1695.0,129
Rutgers,2020-05-30,240.0,1
Northwestern,2020-06-04,,22
Michigan,2020-06-06,1901.0,130
Rutgers,2020-06-06,767.0,3
Northwestern,2020-06-11,,22
Michigan,2020-06-13,2243.0,135
Rutgers,2020-06-13,1388.0,6
Northwestern,2020-06-18,,26
Rutgers,2020-06-20,3820.0,22
Michigan,2020-06-20,2679.0,156
Northwestern,2020-06-25,,28
Michigan,2020-06-27,3031.0,166
Rutgers,2020-06-27,5934.0,29
Northwestern,2020-07-02,,30
Michigan,2020-07-04,3432.0,176
Rutgers,2020-07-04,6871.0,35
Illinois,2020-07-06,99.0,0
Illinois,2020-07-07,335.0,0
Illinois,2020-07-08,933.0,2
Illinois,2020-07-09,1652.0,3
Northwestern,2020-07-09,,32
Illinois,2020-07-10,2382.0,8
Illinois,2020-07-11,2382.0,8
Rutgers,2020-07-11,7558.0,36
Michigan,2020-07-11,4010.0,189
Illinois,2020-07-12,2382.0,8
Illinois,2020-07-13,3051.0,10
Illinois,2020-07-14,3679.0,12
Illinois,2020-07-15,4217.0,18
Illinois,2020-07-16,4834.0,25
Northwestern,2020-07-16,,36
Illinois,2020-07-17,5559.0,28
Rutgers,2020-07-18,8197.0,38
Illinois,2020-07-18,5559.0,28
Michigan,2020-07-18,4536.0,205
Illinois,2020-07-19,5559.0,28
Illinois,2020-07-20,6399.0,31
Illinois,2020-07-21,6906.0,34
Illinois,2020-07-22,7538.0,37
Illinois,2020-07-23,8290.0,43
Northwestern,2020-07-23,,41
Illinois,2020-07-24,9128.0,46
Michigan,2020-07-25,4990.0,226
Illinois,2020-07-25,9128.0,46
Rutgers,2020-07-25,8670.0,47
Illinois,2020-07-26,9128.0,46
Illinois,2020-07-27,9963.0,50
Illinois,2020-07-28,10704.0,52
Illinois,2020-07-29,11449.0,52
Northwestern,2020-07-30,,42
Illinois,2020-07-30,12185.0,56
